;;;;;;
;;;;;;
;;;;;;
;;;;;;
EAN;Titolo;Autore;Editore;Genere (livello 1);Data di Uscita;NazionalitÖ dell'autore
9788804774334;Solo cose belle. Libera la tua vita 10 minuti al giorno e concentrati su ciï che conta davvero;Potinga Irina;MONDADORI;NON FICTION VARIE;12/09/2023;
9788804735427;L'incendio. Reportage su una generazione tra Iran, Ucraina e Afghanistan;Sala Cecilia;MONDADORI;NON FICTION GENERALI;12/09/2023;
9788833576558;Tre vite una settimana;Bussi Michel;E/O;FICTION;13/09/2023;STRANIERO
9791255020387;La piena. Blackwater. Vol. 1;McDowell Michael;BEAT;FICTION;17/01/2023;STRANIERO
9788817147842;Come uccidono le brave ragazze;Jackson Holly;RIZZOLI;FICTION;26/01/2021;STRANIERO
9788838944703;La ricreazione ä finita;Ferrari Dario;SELLERIO EDITORE PALERMO;FICTION;24/01/2023;ITALIANO
9788845278617;Il Piccolo Principe;Saint-ExupÇry Antoine de;BOMPIANI;BAMBINI/RAGAZZI;26/11/2014;
9788830460058;Le avventure di un innovatore. Il sogno americano, tutto italiano, del fondatore di Yoox;Marchetti Federico;LONGANESI;NON FICTION GENERALI;26/09/2023;
9788858333037;Il vocabolario della lingua latina. Latino-italiano, italiano-latino-Guida all'uso;Castiglioni Luigi;LOESCHER;NON FICTION GENERALI;20/05/2019;
9788867904655;Giochi e risate;Pera Toons;TUNUê;BAMBINI/RAGAZZI;16/05/2022;
9788820078829;Ti meriti la felicitÖ. Scopri le risorse per evitare le situazioni tossiche e potenziare il tuo benessere mentale;De Simone Andrea;SPERLING & KUPFER;NON FICTION VARIE;03/10/2023;
9788822766373;Appuntamento in terrazzo;Kingsley Felicia;NEWTON COMPTON EDITORI;FICTION;26/05/2022;ITALIANO
9788822641915;My Hero Academia. Vol. 37;Horikoshi Kohei;STAR COMICS;FICTION;06/09/2023;STRANIERO
9788831016827;‘ colpa mia? Ediz. film tie-in;Ron Mercedes;SALANI;FICTION;13/06/2023;STRANIERO
